母线名 母线编号    U       θ         Pg        Qg        PL        QL
BUS1    1      1         0         6.14933   1.95138   0         0
BUS2    2      0.99555   -11.7319  6         3.6       0         0
BUS3    3      1         -27.1476  3.1       2.5691    0         0
BUS4    4      1.01568   -22.5969  1.6       0.7       0         0
BUS5    5      1.04217   -30.9118  4.3       3.34      0         0
BUS6    6      1         -40.1537  -0.01     0.70155   0         0
BUS7    7      1         -11.4909  2.25      0.32119   0         0
BUS8    8      1         -11.3848  3.06      0.4354    0         0
BUS9    9      0.99583   -19.848   0         0         3.76      2.21
BUS10   10     0.99538   -19.4072  0         0         0         0
BUS11   11     1.02663   -23.3545  0         0         0         0
BUS12   12     1.02027   -30.5567  0         0         0         0
BUS13   13     1.01068   -37.3345  0         0         0         0
BUS14   14     0.99632   -29.6434  0         0         0         0
BUS15   15     0.99645   -29.5293  0         0         0         0
BUS16   16     1.00114   -40.4164  0         0         5         2.3
BUS17   17     0.97636   -40.1339  0         0         0         0
BUS18   18     1.005     -40.4382  0         0         4.3       2.2
BUS19   19     1.00121   -28.5213  0         0         0.864     0.662
BUS20   20     1.0098    -37.0675  0         0         0.719     0.474
BUS21   21     1.00482   -30.9726  0         0         0.7       0.5
BUS22   22     1.04157   -29.4213  0         0         2.265     1.69
BUS23   23     0.98316   -19.8161  0         0         2.87      1.44
BUS24   24     1.04823   -5.428    0         0         0         0
BUS25   25     1.02667   -23.3753  0         0         0         0
BUS26   26     1.02028   -30.5359  0         0         0         0
BUS27   27     1.02025   -30.5828  0         0         0         0
BUS28   28     1.01078   -37.3081  0         0         0         0
BUS29   29     1.00112   -40.4295  0         0         5.2       0.1
BUS30   30     1.01562   -17.199   0         0         0         0
BUS31   31     1.01559   -17.1987  0         0         0         0
BUS33   32     1.01554   -17.2154  0         0         0         0
BUS34   33     1.00111   -40.4129  0         0         0         0
BUS50   34     1.005     -40.4382  0         0         0         0
BUS51   35     0.99538   -19.4072  0         0         0         0
BUS52   36     0.99645   -29.5293  0         0         0         0
